/VIN (inital_phase=120) X,/VIN (inital_phase=120) Y,/SoC (inital_phase=120) X,/SoC (inital_phase=120) Y,/COMP_OUT (inital_phase=120) X,/COMP_OUT (inital_phase=120) Y,/B_Buf<7> (inital_phase=120) X,/B_Buf<7> (inital_phase=120) Y,/B_Buf<6> (inital_phase=120) X,/B_Buf<6> (inital_phase=120) Y,/B_Buf<5> (inital_phase=120) X,/B_Buf<5> (inital_phase=120) Y,/B_Buf<2> (inital_phase=120) X,/B_Buf<2> (inital_phase=120) Y,/B_Buf<1> (inital_phase=120) X,/B_Buf<1> (inital_phase=120) Y,/B_Buf<3> (inital_phase=120) X,/B_Buf<3> (inital_phase=120) Y,/B_Buf<0> (inital_phase=120) X,/B_Buf<0> (inital_phase=120) Y,/EoC (inital_phase=120) X,/EoC (inital_phase=120) Y,/I25/DAC_OUT (inital_phase=120) X,/I25/DAC_OUT (inital_phase=120) Y,/I25/SH_OUT (inital_phase=120) X,/I25/SH_OUT (inital_phase=120) Y,/B_Buf<4> (inital_phase=120) X,/B_Buf<4> (inital_phase=120) Y
2.984997875e-10,1.119609615590836,2.984997875e-10,1.2,2.984997875e-10,1.199999682122484,2.984997875e-10,9.540330468242611e-08,2.984997875e-10,9.540330468242611e-08,2.984997875e-10,9.540330466970192e-08,2.984997875e-10,9.540330468242611e-08,2.984997875e-10,9.540330467037044e-08,2.984997875e-10,9.540330469848243e-08,2.984997875e-10,9.540330467037044e-08,2.984997875e-10,0,2.984997875e-10,9.616024259974764e-07,2.984997875e-10,0.6350651063112458,2.984997875e-10,9.540330468242611e-08
5.971662408333333e-10,1.11960398558645,5.971662408333333e-10,1.2,5.971662408333333e-10,1.199999682122812,5.971662408333333e-10,9.540330466707218e-08,5.971662408333333e-10,9.540330466707218e-08,5.971662408333333e-10,9.540330471188048e-08,5.971662408333333e-10,9.540330466707218e-08,5.971662408333333e-10,9.540330471520233e-08,5.971662408333333e-10,9.540330472159558e-08,5.971662408333333e-10,9.540330471520233e-08,5.971662408333333e-10,0,5.971662408333333e-10,9.616025018331324e-07,5.971662408333333e-10,0.6350651063111696,5.971662408333333e-10,9.540330466707218e-08
1.000416667083333e-09,1.11959638383423,1.000416667083333e-09,1.2,1.000416667083333e-09,1.199999682121906,1.000416667083333e-09,9.540330466459864e-08,1.000416667083333e-09,9.540330466459864e-08,1.000416667083333e-09,9.540330464051556e-08,1.000416667083333e-09,9.540330466459864e-08,1.000416667083333e-09,9.540330465025448e-08,1.000416667083333e-09,9.540330463367297e-08,1.000416667083333e-09,9.540330465025448e-08,1.000416667083333e-09,0,1.000416667083333e-09,9.616080436307974e-07,1.000416667083333e-09,0.6350651063110038,1.000416667083333e-09,9.540330466459864e-08
1.043000805889222e-09,1.119595581052875,1.043000805889222e-09,1.2,1.043000805889222e-09,1.1999996821228,1.043000805889222e-09,1.755783565161795e-05,1.043000805889222e-09,9.540330466877062e-08,1.043000805889222e-09,9.540330469320613e-08,1.043000805889222e-09,9.540330466877062e-08,1.043000805889222e-09,9.540330470472836e-08,1.043000805889222e-09,9.540330468556117e-08,1.043000805889222e-09,9.540330470472836e-08,1.043000805889222e-09,0,1.043000805889222e-09,1.031883398299964e-06,1.043000805889222e-09,0.6350651063341182,1.043000805889222e-09,9.540330466877062e-08
1.118814888878469e-09,1.119594151822976,1.118814888878469e-09,1.2,1.118814888878469e-09,1.199999682123508,1.118814888878469e-09,-7.979891010357165e-06,1.118814888878469e-09,9.540330470641978e-08,1.118814888878469e-09,9.540330466217293e-08,1.118814888878469e-09,9.540330470641978e-08,1.118814888878469e-09,9.540330462818813e-08,1.118814888878469e-09,9.540330465497843e-08,1.118814888878469e-09,9.540330462818813e-08,1.118814888878469e-09,0,1.118814888878469e-09,1.116842953027876e-06,1.118814888878469e-09,0.6350651063675745,1.118814888878469e-09,9.540330470641978e-08
1.201221913974857e-09,1.119592598291055,1.201221913974857e-09,1.2,1.201221913974857e-09,1.19999968212251,1.201221913974857e-09,2.424234567989345e-06,1.201221913974857e-09,9.540330464161011e-08,1.201221913974857e-09,9.540330470000218e-08,1.201221913974857e-09,9.540330464161011e-08,1.201221913974857e-09,9.540330476508316e-08,1.201221913974857e-09,9.540330469457583e-08,1.201221913974857e-09,9.540330476508316e-08,1.201221913974857e-09,0,1.201221913974857e-09,1.140034526759918e-06,1.201221913974857e-09,0.6350651063870331,1.201221913974857e-09,9.540330464161011e-08
1.355681734568488e-09,1.119589686386958,1.355681734568488e-09,1.2,1.355681734568488e-09,1.199999682115513,1.355681734568488e-09,-0.0001395060812475616,1.355681734568488e-09,9.540330475496412e-08,1.355681734568488e-09,9.540330470869206e-08,1.355681734568488e-09,9.540330475496412e-08,1.355681734568488e-09,9.540330458592505e-08,1.355681734568488e-09,9.540330470900487e-08,1.355681734568488e-09,9.540330458592505e-08,1.355681734568488e-09,0,1.355681734568488e-09,9.234313352765833e-08,1.355681734568488e-09,0.6350651060226415,1.355681734568488e-09,9.540330475496412e-08
1.38625389880701e-09,1.119589110029261,1.38625389880701e-09,1.2,1.38625389880701e-09,1.199999682110256,1.38625389880701e-09,-0.0004053785928253377,1.38625389880701e-09,9.540330463193847e-08,1.38625389880701e-09,9.540330463496097e-08,1.38625389880701e-09,9.540330463193847e-08,1.38625389880701e-09,9.540330476263373e-08,1.38625389880701e-09,9.540330463679237e-08,1.38625389880701e-09,9.540330476263373e-08,1.38625389880701e-09,0,1.38625389880701e-09,-5.386435887353e-07,1.38625389880701e-09,0.6350651058033606,1.38625389880701e-09,9.540330463193847e-08
1.423838709682828e-09,1.119588401463941,1.423838709682828e-09,1.2,1.423838709682828e-09,1.199999682096833,1.423838709682828e-09,-0.000929469584594301,1.423838709682828e-09,9.540330472107016e-08,1.423838709682828e-09,9.540330473060652e-08,1.423838709682828e-09,9.540330472107016e-08,1.423838709682828e-09,9.540330460410438e-08,1.423838709682828e-09,9.540330473447041e-08,1.423838709682828e-09,9.540330460410438e-08,1.423838709682828e-09,0,1.423838709682828e-09,-2.103916748140004e-06,1.423838709682828e-09,0.6350651052669279,1.423838709682828e-09,9.540330472107016e-08
1.452678179058387e-09,1.119587857767665,1.452678179058387e-09,1.2,1.452678179058387e-09,1.199999682079832,1.452678179058387e-09,-0.001940245455718519,1.452678179058387e-09,9.54033046558712e-08,1.452678179058387e-09,9.540330466222387e-08,1.452678179058387e-09,9.54033046558712e-08,1.452678179058387e-09,9.540330473283128e-08,1.452678179058387e-09,9.540330466777496e-08,1.452678179058387e-09,9.540330473283128e-08,1.452678179058387e-09,0,1.452678179058387e-09,-4.171804976353202e-06,1.452678179058387e-09,0.6350651045532401,1.452678179058387e-09,9.54033046558712e-08
1.484092465550397e-09,1.119587265527691,1.484092465550397e-09,1.2,1.484092465550397e-09,1.19999968205216,1.484092465550397e-09,-0.004142996798448896,1.484092465550397e-09,9.540330471212609e-08,1.484092465550397e-09,9.540330467682972e-08,1.484092465550397e-09,9.540330471212609e-08,1.484092465550397e-09,9.540330464686241e-08,1.484092465550397e-09,9.540330468434473e-08,1.484092465550397e-09,9.540330464686241e-08,1.484092465550397e-09,0,1.484092465550397e-09,-7.742032439867847e-06,1.484092465550397e-09,0.635065103307035,1.484092465550397e-09,9.540330471212609e-08
1.508030643895913e-09,1.119586814230197,1.508030643895913e-09,1.2,1.508030643895913e-09,1.199999682022585,1.508030643895913e-09,0.009105525271442406,1.508030643895913e-09,9.540330461526206e-08,1.508030643895913e-09,9.540330469424049e-08,1.508030643895913e-09,9.540330461526206e-08,1.508030643895913e-09,9.540330473395155e-08,1.508030643895913e-09,9.540330469930471e-08,1.508030643895913e-09,9.540330473395155e-08,1.508030643895913e-09,0,1.508030643895913e-09,-1.173517634529772e-05,1.508030643895913e-09,0.6350651019000705,1.508030643895913e-09,9.540330461526206e-08
1.515034476311039e-09,1.11958668218935,1.515034476311039e-09,1.2,1.515034476311039e-09,1.199999682012173,1.515034476311039e-09,0.02547358039841231,1.515034476311039e-09,9.540330471167682e-08,1.515034476311039e-09,9.540330464976767e-08,1.515034476311039e-09,9.540330471167682e-08,1.515034476311039e-09,9.540330461879615e-08,1.515034476311039e-09,9.54033046653107e-08,1.515034476311039e-09,9.540330461879615e-08,1.515034476311039e-09,0,1.515034476311039e-09,-1.316210194347471e-05,1.515034476311039e-09,0.6350651013949801,1.515034476311039e-09,9.540330471167682e-08
1.520668832506152e-09,1.119586575966695,1.520668832506152e-09,1.2,1.520668832506152e-09,1.199999682003204,1.520668832506152e-09,0.05708954099277452,1.520668832506152e-09,9.540330464823576e-08,1.520668832506152e-09,9.540330469934721e-08,1.520668832506152e-09,9.540330464823576e-08,1.520668832506152e-09,9.540330473905e-08,1.520668832506152e-09,9.540330471536121e-08,1.520668832506152e-09,9.540330473905e-08,1.520668832506152e-09,0,1.520668832506152e-09,-1.440941968977551e-05,1.520668832506152e-09,0.6350651009525115,1.520668832506152e-09,9.540330464823576e-08
1.525588014341226e-09,1.119586483226932,1.525588014341226e-09,1.2,1.525588014341226e-09,1.199999681994845,1.525588014341226e-09,0.1168725701619155,1.525588014341226e-09,9.540330468083266e-08,1.525588014341226e-09,9.540330466679209e-08,1.525588014341226e-09,9.540330468083266e-08,1.525588014341226e-09,9.540330464948884e-08,1.525588014341226e-09,9.540330463322659e-08,1.525588014341226e-09,9.540330464948884e-08,1.525588014341226e-09,0,1.525588014341226e-09,-1.557397023572322e-05,1.525588014341226e-09,0.6350651005385116,1.525588014341226e-09,9.540330468083266e-08
1.530787333693994e-09,1.119586385205773,1.530787333693994e-09,1.2,1.530787333693994e-09,1.199999681985592,1.530787333693994e-09,0.2247590011706873,1.530787333693994e-09,9.540330467306485e-08,1.530787333693994e-09,9.540330468647809e-08,1.530787333693994e-09,9.540330467306485e-08,1.530787333693994e-09,9.540330470553793e-08,1.530787333693994e-09,9.540330475584199e-08,1.530787333693994e-09,9.540330470553793e-08,1.530787333693994e-09,0,1.530787333693994e-09,-1.688301495829709e-05,1.530787333693994e-09,0.6350651000719572,1.530787333693994e-09,9.540330467306485e-08
1.536615881440024e-09,1.119586275321899,1.536615881440024e-09,1.2,1.536615881440024e-09,1.199999681974731,1.536615881440024e-09,0.3910536705250541,1.536615881440024e-09,9.540330468403844e-08,1.536615881440024e-09,9.540330467503039e-08,1.536615881440024e-09,9.540330468403844e-08,1.536615881440024e-09,9.540330464569541e-08,1.536615881440024e-09,9.540330468479766e-08,1.536615881440024e-09,9.540330464569541e-08,1.536615881440024e-09,0,1.536615881440024e-09,-1.844538414010434e-05,1.536615881440024e-09,0.6350650995131348,1.536615881440024e-09,9.540330468403844e-08
1.543454135736806e-09,1.119586146402239,1.543454135736806e-09,1.2,1.543454135736806e-09,1.199999681961604,1.543454135736806e-09,0.625809590661533,1.543454135736806e-09,9.54033046411072e-08,1.543454135736806e-09,9.540330470311202e-08,1.543454135736806e-09,9.54033046411072e-08,1.543454135736806e-09,9.540330472097846e-08,1.543454135736806e-09,9.540330464000157e-08,1.543454135736806e-09,9.540330472097846e-08,1.543454135736806e-09,0,1.543454135736806e-09,-2.039918350144154e-05,1.543454135736806e-09,0.635065098810401,1.543454135736806e-09,9.54033046411072e-08
1.549381894214089e-09,1.119586034647821,1.549381894214089e-09,1.2,1.549381894214089e-09,1.199999681950141,1.549381894214089e-09,0.8459660774860203,1.549381894214089e-09,9.540330471974611e-08,1.549381894214089e-09,9.54033047010946e-08,1.549381894214089e-09,9.540330471974611e-08,1.549381894214089e-09,9.540330468745683e-08,1.549381894214089e-09,9.540330470543481e-08,1.549381894214089e-09,9.540330468745683e-08,1.549381894214089e-09,0,1.549381894214089e-09,-2.218424720625677e-05,1.549381894214089e-09,0.635065098163354,1.549381894214089e-09,9.540330471974611e-08
1.5535414268706e-09,1.119585956229239,1.5535414268706e-09,1.2,1.5535414268706e-09,1.199999681942342,1.5535414268706e-09,0.985982197631706,1.5535414268706e-09,9.540330466276834e-08,1.5535414268706e-09,9.540330470676419e-08,1.5535414268706e-09,9.540330466276834e-08,1.5535414268706e-09,9.540330467746724e-08,1.5535414268706e-09,9.540330469020763e-08,1.5535414268706e-09,9.540330467746724e-08,1.5535414268706e-09,0,1.5535414268706e-09,-2.347473597425334e-05,1.5535414268706e-09,0.635065097691581,1.5535414268706e-09,9.540330466276834e-08
1.557964582866219e-09,1.119585872840598,1.557964582866219e-09,1.2,1.557964582866219e-09,1.199999681934532,1.557964582866219e-09,1.08431149887332,1.557964582866219e-09,9.540330467783261e-08,1.557964582866219e-09,9.540330462136274e-08,1.557964582866219e-09,9.540330467783261e-08,1.557964582866219e-09,9.540330469237048e-08,1.557964582866219e-09,9.540330474900936e-08,1.557964582866219e-09,9.540330469237048e-08,1.557964582866219e-09,0,1.557964582866219e-09,-2.486302867403154e-05,1.557964582866219e-09,0.6350650971787801,1.557964582866219e-09,9.540330467783261e-08
1.561453584954448e-09,1.119585807063295,1.561453584954448e-09,1.2,1.561453584954448e-09,1.199999681928994,1.561453584954448e-09,1.123326725019744,1.561453584954448e-09,9.540330465954505e-08,1.561453584954448e-09,9.54033047212305e-08,1.561453584954448e-09,9.540330465954505e-08,1.561453584954448e-09,9.540330465304436e-08,1.561453584954448e-09,9.540330464659458e-08,1.561453584954448e-09,9.540330465304436e-08,1.561453584954448e-09,0,1.561453584954448e-09,-2.595517933693236e-05,1.561453584954448e-09,0.6350650967702161,1.561453584954448e-09,9.540330465954505e-08
1.564695286282551e-09,1.11958574594827,1.564695286282551e-09,1.2,1.564695286282551e-09,1.199999681924568,1.564695286282551e-09,1.144346464078573,1.564695286282551e-09,9.540330467720448e-08,1.564695286282551e-09,9.540330463735759e-08,1.564695286282551e-09,9.540330467720448e-08,1.564695286282551e-09,9.540330471575199e-08,1.564695286282551e-09,9.54033047736581e-08,1.564695286282551e-09,9.540330471575199e-08,1.564695286282551e-09,0,1.564695286282551e-09,-2.695185511487166e-05,1.564695286282551e-09,0.6350650963918046,1.564695286282551e-09,9.540330467720448e-08
1.56828192003263e-09,1.119585678330292,1.56828192003263e-09,1.2,1.56828192003263e-09,1.199999681920842,1.56828192003263e-09,1.159095993493111,1.56828192003263e-09,9.540330465625618e-08,1.56828192003263e-09,9.54033047552436e-08,1.56828192003263e-09,9.540330465625618e-08,1.56828192003263e-09,9.540330473489242e-08,1.56828192003263e-09,9.540330462832269e-08,1.56828192003263e-09,9.540330473489242e-08,1.56828192003263e-09,0,1.56828192003263e-09,-2.801202208542054e-05,1.56828192003263e-09,0.6350650959807771,1.56828192003263e-09,9.540330465625618e-08
