time (s),dnl(value(getData("/VOUT" ?result "tran") "INL_d" 9e-08) value(getData("/INL_SAMPLER" ?result "tran") "INL_d" 9e-08)  ?mode "auto"  ?crossType "falling" ?delay 90n ?method "end" ?units "lsb" ?nbsamples 256)
1.003,-13.54E-3
1.008,16.84E-3
1.012,-51.59E-3
1.017,52.04E-3
1.022,-13.70E-3
1.026,16.81E-3
1.031,-33.26E-3
1.036,35.84E-3
1.040,-13.13E-3
1.045,17.14E-3
1.049,-130.0E-3
1.055,120.7E-3
1.059,-13.91E-3
1.064,16.46E-3
1.068,-33.90E-3
1.073,35.42E-3
1.078,-13.57E-3
1.083,16.83E-3
1.087,-51.95E-3
1.092,52.07E-3
1.097,-13.73E-3
1.101,16.79E-3
1.106,-33.04E-3
1.111,35.52E-3
1.115,-13.18E-3
1.120,17.16E-3
1.125,-85.50E-3
1.130,84.67E-3
1.134,-13.70E-3
1.139,16.76E-3
1.144,-33.37E-3
1.148,35.64E-3
1.153,-13.29E-3
1.158,17.18E-3
1.162,-50.16E-3
1.167,51.36E-3
1.172,-13.42E-3
1.177,17.10E-3
1.181,-32.71E-3
1.186,36.00E-3
1.191,-12.94E-3
1.195,17.52E-3
