/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.037044827254944e-07,0,0
2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,4.663765774724754e-08,2.5e-10,0.3
3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,-6.976392301302389e-06,3.4375e-10,0.4125
3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,-1.855123838959216e-05,3.90625e-10,0.4687500000000001
4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,-3.183853492128412e-05,4.140625e-10,0.496875
4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,-9.553648143639862e-05,4.609375e-10,0.553125
4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,0.5695212567579745,4.746010472983121e-10,-0.0001274480443989184,4.746010472983121e-10,0.5695212567579745
5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,0.6023137702739235,5.019281418949363e-10,1.091176910835069e-05,5.019281418949363e-10,0.6023137702739235
5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.6202415820654377,5.168679850545314e-10,0.0009567888243110264,5.168679850545314e-10,0.6202415820654377
5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.6485966951140906,5.404972459284089e-10,0.007055587317263195,5.404972459284089e-10,0.6485966951140906
5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.66743634839257,5.561969569938084e-10,0.01575255811583119,5.561969569938084e-10,0.66743634839257
5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.6856986079717341,5.714155066431118e-10,0.02699927843585609,5.714155066431118e-10,0.6856986079717341
5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.7001983472255694,5.834986226879745e-10,0.03672184312418534,5.834986226879745e-10,0.7001983472255694
6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.7221585217601391,6.017987681334493e-10,0.05190500228957597,6.017987681334493e-10,0.7221585217601391
6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.739965958239274,6.166382985327284e-10,0.06414267600222449,6.166382985327284e-10,0.739965958239274
6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.7672535018665965,6.393779182221638e-10,0.08276237619859871,6.393779182221638e-10,0.7672535018665965
6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.801312291482429,6.677602429020242e-10,0.1056780956016547,6.677602429020242e-10,0.801312291482429
7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.8694298707140939,7.24524892261745e-10,0.1503217884738541,7.24524892261745e-10,0.8694298707140939
7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.9434245739852413,7.861871449877012e-10,0.1969480620684765,7.861871449877012e-10,0.9434245739852413
9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,1.091413980527536,9.095116504396136e-10,0.2845036785966181,9.095116504396136e-10,1.091413980527536
1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,0.3441321691653764,1e-09,1.2
1.09649886963736e-09,1.2,1.09649886963736e-09,1.2,1.09649886963736e-09,1.2,1.09649886963736e-09,1.2,1.09649886963736e-09,1.2,1.09649886963736e-09,1.2,1.09649886963736e-09,1.2,1.09649886963736e-09,0.4016694883593077,1.09649886963736e-09,1.2
1.208188510085893e-09,1.2,1.208188510085893e-09,1.2,1.208188510085893e-09,1.2,1.208188510085893e-09,1.2,1.208188510085893e-09,1.2,1.208188510085893e-09,1.2,1.208188510085893e-09,1.2,1.208188510085893e-09,0.46567663716889,1.208188510085893e-09,1.2
1.29779361140137e-09,1.2,1.29779361140137e-09,1.2,1.29779361140137e-09,1.2,1.29779361140137e-09,1.2,1.29779361140137e-09,1.2,1.29779361140137e-09,1.2,1.29779361140137e-09,1.2,1.29779361140137e-09,0.5134260653347095,1.29779361140137e-09,1.2
1.477003814032323e-09,1.2,1.477003814032323e-09,1.2,1.477003814032323e-09,1.2,1.477003814032323e-09,1.2,1.477003814032323e-09,1.2,1.477003814032323e-09,1.2,1.477003814032323e-09,1.2,1.477003814032323e-09,0.5999886399296417,1.477003814032323e-09,1.2
1.83542421929423e-09,1.2,1.83542421929423e-09,1.2,1.83542421929423e-09,1.2,1.83542421929423e-09,1.2,1.83542421929423e-09,1.2,1.83542421929423e-09,1.2,1.83542421929423e-09,1.2,1.83542421929423e-09,0.7431418268123046,1.83542421929423e-09,1.2
2.552265029818043e-09,1.2,2.552265029818043e-09,1.2,2.552265029818043e-09,1.2,2.552265029818043e-09,1.2,2.552265029818043e-09,1.2,2.552265029818043e-09,1.2,2.552265029818043e-09,1.2,2.552265029818043e-09,0.9365198718279809,2.552265029818043e-09,1.2
3.435483120945537e-09,1.2,3.435483120945537e-09,1.2,3.435483120945537e-09,1.2,3.435483120945537e-09,1.2,3.435483120945537e-09,1.2,3.435483120945537e-09,1.2,3.435483120945537e-09,1.2,3.435483120945537e-09,1.072681220655566,3.435483120945537e-09,1.2
4.488610884885084e-09,1.2,4.488610884885084e-09,1.2,4.488610884885084e-09,1.2,4.488610884885084e-09,1.2,4.488610884885084e-09,1.2,4.488610884885084e-09,1.2,4.488610884885084e-09,1.2,4.488610884885084e-09,1.139858163445684,4.488610884885084e-09,1.2
5.664497499626791e-09,1.2,5.664497499626791e-09,1.2,5.664497499626791e-09,1.2,5.664497499626791e-09,1.2,5.664497499626791e-09,1.2,5.664497499626791e-09,1.2,5.664497499626791e-09,1.2,5.664497499626791e-09,1.174070393653201,5.664497499626791e-09,1.2
7.087685579954157e-09,1.2,7.087685579954157e-09,1.2,7.087685579954157e-09,1.2,7.087685579954157e-09,1.2,7.087685579954157e-09,1.2,7.087685579954157e-09,1.2,7.087685579954157e-09,1.2,7.087685579954157e-09,1.183653069409468,7.087685579954157e-09,1.2
9.110636354632933e-09,1.2,9.110636354632933e-09,1.2,9.110636354632933e-09,1.2,9.110636354632933e-09,1.2,9.110636354632933e-09,1.2,9.110636354632933e-09,1.2,9.110636354632933e-09,1.2,9.110636354632933e-09,1.188131221741968,9.110636354632933e-09,1.2
1.174410501613699e-08,1.2,1.174410501613699e-08,1.2,1.174410501613699e-08,1.2,1.174410501613699e-08,1.2,1.174410501613699e-08,1.2,1.174410501613699e-08,1.2,1.174410501613699e-08,1.2,1.174410501613699e-08,1.187390280534409,1.174410501613699e-08,1.2
1.678022505541487e-08,1.2,1.678022505541487e-08,1.2,1.678022505541487e-08,1.2,1.678022505541487e-08,1.2,1.678022505541487e-08,1.2,1.678022505541487e-08,1.2,1.678022505541487e-08,1.2,1.678022505541487e-08,1.187271900530145,1.678022505541487e-08,1.2
2.466637638289658e-08,1.2,2.466637638289658e-08,1.2,2.466637638289658e-08,1.2,2.466637638289658e-08,1.2,2.466637638289658e-08,1.2,2.466637638289658e-08,1.2,2.466637638289658e-08,1.2,2.466637638289658e-08,1.187473588573467,2.466637638289658e-08,1.2
4.043867903786001e-08,1.2,4.043867903786001e-08,1.2,4.043867903786001e-08,1.2,4.043867903786001e-08,1.2,4.043867903786001e-08,1.2,4.043867903786001e-08,1.2,4.043867903786001e-08,1.2,4.043867903786001e-08,1.187431198749165,4.043867903786001e-08,1.2
7.198328434778685e-08,1.2,7.198328434778685e-08,1.2,7.198328434778685e-08,1.2,7.198328434778685e-08,1.2,7.198328434778685e-08,1.2,7.198328434778685e-08,1.2,7.198328434778685e-08,1.2,7.198328434778685e-08,1.18737839663626,7.198328434778685e-08,1.2
1.350724949676405e-07,1.2,1.350724949676405e-07,1.2,1.350724949676405e-07,1.2,1.350724949676405e-07,1.2,1.350724949676405e-07,1.2,1.350724949676405e-07,1.2,1.350724949676405e-07,1.2,1.350724949676405e-07,1.187400456688791,1.350724949676405e-07,1.2
2.612509162073479e-07,1.2,2.612509162073479e-07,1.2,2.612509162073479e-07,1.2,2.612509162073479e-07,1.2,2.612509162073479e-07,1.2,2.612509162073479e-07,1.2,2.612509162073479e-07,1.2,2.612509162073479e-07,1.187404469235768,2.612509162073479e-07,1.2
5.136077586867627e-07,1.2,5.136077586867627e-07,1.2,5.136077586867627e-07,1.2,5.136077586867627e-07,1.2,5.136077586867627e-07,1.2,5.136077586867627e-07,1.2,5.136077586867627e-07,1.2,5.136077586867627e-07,1.187402539679778,5.136077586867627e-07,1.2
1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.187402451224585,1.001e-06,1.2
