/I10/I_bot (vbias_current=0.8) X,/I10/I_bot (vbias_current=0.8) Y,/I10/I_bot (vbias_current=0.85) X,/I10/I_bot (vbias_current=0.85) Y,/I10/I_bot (vbias_current=0.9) X,/I10/I_bot (vbias_current=0.9) Y,/I10/I_bot (vbias_current=0.95) X,/I10/I_bot (vbias_current=0.95) Y,/I10/I_bot (vbias_current=1) X,/I10/I_bot (vbias_current=1) Y,/I10/I_bot (vbias_current=1.05) X,/I10/I_bot (vbias_current=1.05) Y,/I10/I_bot (vbias_current=1.1) X,/I10/I_bot (vbias_current=1.1) Y,/I10/I_bot (vbias_current=1.15) X,/I10/I_bot (vbias_current=1.15) Y,/I10/I_bot (vbias_current=1.2) X,/I10/I_bot (vbias_current=1.2) Y
2.51e-07,-1.76326245419194e-05,2.51e-07,-1.910875094339818e-05,2.51e-07,-1.980749802532197e-05,2.51e-07,-2.018823897951703e-05,2.51e-07,-2.041994444935579e-05,2.51e-07,-2.057345451258767e-05,2.51e-07,-2.068185620207262e-05,2.51e-07,-2.076214745749129e-05,2.51e-07,-2.082380849724338e-05
2.71e-07,-1.763180464900983e-05,2.71e-07,-1.91080454903586e-05,2.71e-07,-1.980683062083643e-05,2.71e-07,-2.018758643726717e-05,2.71e-07,-2.041929837285866e-05,2.71e-07,-2.057281148074184e-05,2.71e-07,-2.068121469677472e-05,2.71e-07,-2.076150673704799e-05,2.71e-07,-2.082316818441904e-05
2.91e-07,-1.763106718281105e-05,2.91e-07,-1.91074011031567e-05,2.91e-07,-1.980621567150232e-05,2.91e-07,-2.018698216763047e-05,2.91e-07,-2.041869822637841e-05,2.91e-07,-2.057221291761659e-05,2.91e-07,-2.068061666259135e-05,2.91e-07,-2.076090876675639e-05,2.91e-07,-2.082257007388484e-05
3.11e-07,-1.763067805709519e-05,3.11e-07,-1.910708468885445e-05,3.11e-07,-1.980592383321658e-05,3.11e-07,-2.018670064076915e-05,3.11e-07,-2.041842172029482e-05,3.11e-07,-2.057193915913261e-05,3.11e-07,-2.068034456105206e-05,3.11e-07,-2.076063774108557e-05,3.11e-07,-2.082229978995211e-05
3.31e-07,-1.763031359245328e-05,3.31e-07,-1.910677185561984e-05,3.31e-07,-1.98056271608096e-05,3.31e-07,-2.018640996860761e-05,3.31e-07,-2.041813349549395e-05,3.31e-07,-2.057165198204709e-05,3.31e-07,-2.068005783109122e-05,3.31e-07,-2.076035117805942e-05,3.31e-07,-2.082201326151083e-05
3.510000000000001e-07,-1.763017305372242e-05,3.510000000000001e-07,-1.910666192518922e-05,3.510000000000001e-07,-1.980552750044809e-05,3.510000000000001e-07,-2.018631470624766e-05,3.510000000000001e-07,-2.04180404438805e-05,3.510000000000001e-07,-2.05715601874426e-05,3.510000000000001e-07,-2.067996682412234e-05,3.510000000000001e-07,-2.076026070330461e-05,3.510000000000001e-07,-2.082192316748081e-05
3.710000000000001e-07,-1.76300313125443e-05,3.710000000000001e-07,-1.910654176861365e-05,3.710000000000001e-07,-1.980541404628842e-05,3.710000000000001e-07,-2.018620376694523e-05,3.710000000000001e-07,-2.041793055870747e-05,3.710000000000001e-07,-2.057145077467642e-05,3.710000000000001e-07,-2.067985763033851e-05,3.710000000000001e-07,-2.076015160660914e-05,3.710000000000001e-07,-2.082181410821751e-05
3.910000000000001e-07,-1.76299808768997e-05,3.910000000000001e-07,-1.910650233272695e-05,3.910000000000001e-07,-1.98053782617478e-05,3.910000000000001e-07,-2.018616953670983e-05,3.910000000000001e-07,-2.04178971064115e-05,3.910000000000001e-07,-2.05714177641528e-05,3.910000000000001e-07,-2.067982489494695e-05,3.910000000000001e-07,-2.076011905606335e-05,3.910000000000001e-07,-2.082178169042381e-05
4.110000000000001e-07,-1.762993304024205e-05,4.110000000000001e-07,-1.91064623304938e-05,4.110000000000001e-07,-1.980534067623958e-05,4.110000000000001e-07,-2.018613286712919e-05,4.110000000000001e-07,-2.041786082949079e-05,4.110000000000001e-07,-2.057138166893666e-05,4.110000000000001e-07,-2.067978888970697e-05,4.110000000000001e-07,-2.07600830958966e-05,4.110000000000001e-07,-2.082174575145251e-05
4.310000000000001e-07,-1.762991359663993e-05,4.310000000000001e-07,-1.910644673792656e-05,4.310000000000001e-07,-1.980532631364438e-05,4.310000000000001e-07,-2.018611900595687e-05,4.310000000000001e-07,-2.041784720739375e-05,4.310000000000001e-07,-2.057136817599146e-05,4.310000000000001e-07,-2.067977547234253e-05,4.310000000000001e-07,-2.076006972640323e-05,4.310000000000001e-07,-2.082173241541028e-05
4.510000000000002e-07,-1.762989791175754e-05,4.510000000000002e-07,-1.91064335101994e-05,4.510000000000002e-07,-1.980531381616504e-05,4.510000000000002e-07,-2.018610677255047e-05,4.510000000000002e-07,-2.04178350792669e-05,4.510000000000002e-07,-2.057135609087727e-05,4.510000000000002e-07,-2.067976340532892e-05,4.510000000000002e-07,-2.076005766585874e-05,4.510000000000002e-07,-2.082172035465978e-05
4.710000000000002e-07,-1.762988943146342e-05,4.710000000000002e-07,-1.910642632646821e-05,4.710000000000002e-07,-1.980530703068528e-05,4.710000000000002e-07,-2.018610013559521e-05,4.710000000000002e-07,-2.041782850357856e-05,4.710000000000002e-07,-2.057134954347989e-05,4.710000000000002e-07,-2.067975687040036e-05,4.710000000000002e-07,-2.076005113734657e-05,4.710000000000002e-07,-2.082171382831126e-05
4.910000000000001e-07,-1.762988275566761e-05,4.910000000000001e-07,-1.91064204672344e-05,4.910000000000001e-07,-1.980530140406219e-05,4.910000000000001e-07,-2.018609458336454e-05,4.910000000000001e-07,-2.041782297423563e-05,4.910000000000001e-07,-2.057134401716762e-05,4.910000000000001e-07,-2.067975134125962e-05,4.910000000000001e-07,-2.076004560219064e-05,4.910000000000001e-07,-2.082170828731187e-05
5.110000000000002e-07,-1.762987826758424e-05,5.110000000000002e-07,-1.910641654107076e-05,5.110000000000002e-07,-1.980529764929954e-05,5.110000000000002e-07,-2.018609088893549e-05,5.110000000000002e-07,-2.041781930155462e-05,5.110000000000002e-07,-2.057134035125653e-05,5.110000000000002e-07,-2.067974767652926e-05,5.110000000000002e-07,-2.076004193677133e-05,5.110000000000002e-07,-2.082170461991031e-05
5.310000000000002e-07,-1.762987441753937e-05,5.310000000000002e-07,-1.910641309134498e-05,5.310000000000002e-07,-1.980529431292943e-05,5.310000000000002e-07,-2.018608758520419e-05,5.310000000000002e-07,-2.04178160049538e-05,5.310000000000002e-07,-2.05713370535139e-05,5.310000000000002e-07,-2.067974437466866e-05,5.310000000000002e-07,-2.076003862956703e-05,5.310000000000002e-07,-2.082170130789322e-05
5.510000000000002e-07,-1.762987160354124e-05,5.510000000000002e-07,-1.910641060025429e-05,5.510000000000002e-07,-1.980529192111993e-05,5.510000000000002e-07,-2.018608522580441e-05,5.510000000000002e-07,-2.041781365624498e-05,5.510000000000002e-07,-2.057133470841203e-05,5.510000000000002e-07,-2.067974202863694e-05,5.510000000000002e-07,-2.076003628203141e-05,5.510000000000002e-07,-2.082169895849334e-05
5.710000000000002e-07,-1.762986911438517e-05,5.710000000000002e-07,-1.910640836315237e-05,5.710000000000002e-07,-1.980528975525341e-05,5.710000000000002e-07,-2.018608308172019e-05,5.710000000000002e-07,-2.041781151699602e-05,5.710000000000002e-07,-2.057133256737598e-05,5.710000000000002e-07,-2.067973988535509e-05,5.710000000000002e-07,-2.07600341354688e-05,5.710000000000002e-07,-2.082169680872899e-05
5.910000000000002e-07,-1.762986719605665e-05,5.910000000000002e-07,-1.910640665986475e-05,5.910000000000002e-07,-1.980528811753209e-05,5.910000000000002e-07,-2.018608146573171e-05,5.910000000000002e-07,-2.041780990819117e-05,5.910000000000002e-07,-2.057133095961199e-05,5.910000000000002e-07,-2.067973827804694e-05,5.910000000000002e-07,-2.076003252639377e-05,5.910000000000002e-07,-2.082169519853719e-05
6.110000000000003e-07,-1.762986548960289e-05,6.110000000000003e-07,-1.910640512665085e-05,6.110000000000003e-07,-1.980528663406879e-05,6.110000000000003e-07,-2.018607999724976e-05,6.110000000000003e-07,-2.041780844298298e-05,6.110000000000003e-07,-2.057132949440943e-05,6.110000000000003e-07,-2.06797368102047e-05,6.110000000000003e-07,-2.076003105699543e-05,6.110000000000003e-07,-2.082169372675212e-05
6.310000000000003e-07,-1.76298641200983e-05,6.310000000000003e-07,-1.91064039098962e-05,6.310000000000003e-07,-1.980528546336795e-05,6.310000000000003e-07,-2.018607884191357e-05,6.310000000000003e-07,-2.041780729192664e-05,6.310000000000003e-07,-2.057132834511244e-05,6.310000000000003e-07,-2.067973565949441e-05,6.310000000000003e-07,-2.076002990624968e-05,6.310000000000003e-07,-2.082169257500079e-05
