/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
0,0,0,0.6,0,0.5999999969904894
2.575541395998197e-11,0,2.575541395998197e-11,0.6000226232801872,2.575541395998197e-11,0.6000000585512967
3.02212071652228e-11,0,3.02212071652228e-11,0.6000265459851779,3.02212071652228e-11,0.6000000697085915
3.826487180513339e-11,0,3.826487180513339e-11,0.6000336114541693,3.826487180513339e-11,0.6000000913392736
4.527581563089561e-11,0,4.527581563089561e-11,0.6000397697922389,4.527581563089561e-11,0.6000001128953429
5.867304475658769e-11,0,5.867304475658769e-11,0.600051537774998,5.867304475658769e-11,0.600000161213823
7.828361392866889e-11,0,7.828361392866889e-11,0.6000687634891551,7.828361392866889e-11,0.6000002486608066
1.085022684692623e-10,0,1.085022684692623e-10,0.6000953072318932,1.085022684692623e-10,0.6000004223333977
1.613447197720029e-10,0,1.613447197720029e-10,0.6001417234751003,1.613447197720029e-10,0.600000839121248
2.62496523901014e-10,0,2.62496523901014e-10,0.6002305741337669,2.62496523901014e-10,0.6000020367564418
4.636322006811718e-10,0,4.636322006811718e-10,0.6004072495356995,4.636322006811718e-10,0.6000059662822035
8.659035542414873e-10,0,8.659035542414873e-10,0.6007606002183127,8.659035542414873e-10,0.6000199091186746
1.670446261362118e-09,0,1.670446261362118e-09,0.6014673006696042,1.670446261362118e-09,0.6000713770180065
3.279531675603381e-09,0,3.279531675603381e-09,0.6028806944850365,3.279531675603381e-09,0.600262927231163
5.524793686066738e-09,0,5.524793686066738e-09,0.6048528667793907,5.524793686066738e-09,0.6007097962035486
8.244079298011261e-09,0,8.244079298011261e-09,0.6072413352879419,8.244079298011261e-09,0.6014955261194487
1.13841018426375e-08,0,1.13841018426375e-08,0.609999210405184,1.13841018426375e-08,0.6026837742663511
1.497098229230448e-08,0,1.497098229230448e-08,0.6131492979403035,1.497098229230448e-08,0.6043425885514074
1.897793635436018e-08,0,1.897793635436018e-08,0.616667871785699,1.897793635436018e-08,0.6064984702624684
2.345387755085948e-08,0,2.345387755085948e-08,0.6205975873613137,2.345387755085948e-08,0.6091991881420279
2.845006053051871e-08,0,2.845006053051871e-08,0.6249830042323667,2.845006053051871e-08,0.6124883953737037
3.405883163855781e-08,0,3.405883163855781e-08,0.6299045185959073,3.405883163855781e-08,0.6164332351883044
4.039302820012182e-08,0,4.039302820012182e-08,0.6354601287603344,4.039302820012182e-08,0.621115798044875
4.761426134646609e-08,0,4.761426134646609e-08,0.6417899959455845,4.761426134646609e-08,0.6266561600659676
5.593924854783463e-08,0,5.593924854783463e-08,0.6490815327420344,5.593924854783463e-08,0.6332212763408721
6.5676329828731e-08,0,6.5676329828731e-08,0.6576005407229281,6.5676329828731e-08,0.6410577957879449
7.727315904420001e-08,0,7.727315904420001e-08,0.6677312342192842,7.727315904420001e-08,0.6505372288297236
9.141602278020082e-08,0,9.141602278020082e-08,0.6800593678969458,9.141602278020082e-08,0.662248947026561
1.092563099513416e-07,0,1.092563099513416e-07,0.695560886733037,1.092563099513416e-07,0.6772116202018786
1.314662752108088e-07,0,1.314662752108088e-07,0.714766953686892,1.314662752108088e-07,0.6961039967307128
1.586542590741876e-07,0,1.586542590741876e-07,0.7381105469166366,1.586542590741876e-07,0.7195824024812788
1.912608179891765e-07,0,1.912608179891765e-07,0.7658147895569586,1.912608179891765e-07,0.748075586072189
2.337635505932932e-07,0,2.337635505932932e-07,0.8013507160268356,2.337635505932932e-07,0.7852314345853366
2.749450754027476e-07,0,2.749450754027476e-07,0.8350399748372765,2.749450754027476e-07,0.8206506681556853
3.11342809664233e-07,0,3.11342809664233e-07,0.8641086437900006,3.11342809664233e-07,0.851121829865346
3.474361676996265e-07,0,3.474361676996265e-07,0.8921941050399158,3.474361676996265e-07,0.8804237059723116
3.92633380996805e-07,0,3.92633380996805e-07,0.9262043302687526,3.92633380996805e-07,0.9157366768042626
4.571355322765489e-07,0,4.571355322765489e-07,0.9722332485956171,4.571355322765489e-07,0.9633038149681068
5.594351438217385e-07,0,5.594351438217385e-07,1.038279207726041,5.594351438217385e-07,1.031295741912655
7.345089356423831e-07,0,7.345089356423831e-07,1.127841977781794,7.345089356423831e-07,1.123473417320846
9.345089356423831e-07,0,9.345089356423831e-07,1.187716937605279,9.345089356423831e-07,1.185933713495655
1.134508935642383e-06,0,1.134508935642383e-06,1.19756599931571,1.134508935642383e-06,1.198188529552267
1.291464685369467e-06,0,1.291464685369467e-06,1.169562960806116,1.291464685369467e-06,1.172099522803278
1.464270217298576e-06,0,1.464270217298576e-06,1.104209528547984,1.464270217298576e-06,1.108986055103071
1.632589245757417e-06,0,1.632589245757417e-06,1.009646180156777,1.632589245757417e-06,1.016972815851002
1.792308987729819e-06,0,1.792308987729819e-06,0.8969214881605994,1.792308987729819e-06,0.9074929406489642
