/B<7> (vref=1.2) X,/B<7> (vref=1.2) Y,/B<6> (vref=1.2) X,/B<6> (vref=1.2) Y,/B<5> (vref=1.2) X,/B<5> (vref=1.2) Y,/B<4> (vref=1.2) X,/B<4> (vref=1.2) Y,/B<3> (vref=1.2) X,/B<3> (vref=1.2) Y,/B<2> (vref=1.2) X,/B<2> (vref=1.2) Y,/VOUT (vref=1.2) X,/VOUT (vref=1.2) Y,/net10 (vref=1.2) X,/net10 (vref=1.2) Y,/B<1> (vref=1.2) X,/B<1> (vref=1.2) Y,/B<0> (vref=1.2) X,/B<0> (vref=1.2) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,2.391037269613154e-07,0,1.2,0,0,0,0
2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,2.533935077926796e-07,2.5e-10,1.2,2.5e-10,0.3,2.5e-10,0.3
3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,-7.605485862052293e-08,3.4375e-10,1.2,3.4375e-10,0.4125,3.4375e-10,0.4125
3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,-4.807176533691242e-07,3.90625e-10,1.2,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001
4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,-4.648619594686694e-06,4.84375e-10,1.2,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999
5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.0001236800069538283,5.853381791655422e-10,1.2,5.853381791655422e-10,0.7024058149986505,5.853381791655422e-10,0.7024058149986505
6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.0004820473366401175,6.089058045217066e-10,1.2,6.089058045217066e-10,0.7306869654260479,6.089058045217066e-10,0.7306869654260479
6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.002221527342923867,6.519659622035833e-10,1.2,6.519659622035833e-10,0.7823591546442998,6.519659622035833e-10,0.7823591546442998
6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.002661492706556652,6.587177742239602e-10,1.2,6.587177742239602e-10,0.7904613290687522,6.587177742239602e-10,0.7904613290687522
6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.003613071782033857,6.722213982647142e-10,1.2,6.722213982647142e-10,0.8066656779176569,6.722213982647142e-10,0.8066656779176569
6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.004704302958420973,6.872733641341174e-10,1.2,6.872733641341174e-10,0.8247280369609408,6.872733641341174e-10,0.8247280369609408
7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.005794717277255679,7.020950245039295e-10,1.2,7.020950245039295e-10,0.8425140294047153,7.020950245039295e-10,0.8425140294047153
7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.00725477316143881,7.21886911289214e-10,1.2,7.21886911289214e-10,0.8662642935470567,7.21886911289214e-10,0.8662642935470567
7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.008663932884061153,7.409377440575245e-10,1.2,7.409377440575245e-10,0.8891252928690293,7.409377440575245e-10,0.8891252928690293
7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.01003929100606661,7.59522690314854e-10,1.2,7.59522690314854e-10,0.9114272283778246,7.59522690314854e-10,0.9114272283778246
7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.0118390829523155,7.838569801541171e-10,1.2,7.838569801541171e-10,0.9406283761849406,7.838569801541171e-10,0.9406283761849406
8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.0143209406494958,8.174733048262136e-10,1.2,8.174733048262136e-10,0.9809679657914562,8.174733048262136e-10,0.9809679657914562
8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,0.01750881415561607,8.607552363947835e-10,1.2,8.607552363947835e-10,1.03290628367374,8.607552363947835e-10,1.03290628367374
9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,0.02061157026275481,9.029941379799549e-10,1.2,9.029941379799549e-10,1.083592965575946,9.029941379799549e-10,1.083592965575946
9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,0.02487150105888917,9.611682555948887e-10,1.2,9.611682555948887e-10,1.153401906713866,9.611682555948887e-10,1.153401906713866
1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,0.02770644724031749,1e-09,1.2,1e-09,1.2,1e-09,1.2
1.077663488810223e-09,1.2,1.077663488810223e-09,1.2,1.077663488810223e-09,1.2,1.077663488810223e-09,1.2,1.077663488810223e-09,1.2,1.077663488810223e-09,1.2,1.077663488810223e-09,0.03334208669672993,1.077663488810223e-09,1.2,1.077663488810223e-09,1.2,1.077663488810223e-09,1.2
1.156437282566182e-09,1.2,1.156437282566182e-09,1.2,1.156437282566182e-09,1.2,1.156437282566182e-09,1.2,1.156437282566182e-09,1.2,1.156437282566182e-09,1.2,1.156437282566182e-09,0.03904430090729603,1.156437282566182e-09,1.2,1.156437282566182e-09,1.2,1.156437282566182e-09,1.2
1.221480369771159e-09,1.2,1.221480369771159e-09,1.2,1.221480369771159e-09,1.2,1.221480369771159e-09,1.2,1.221480369771159e-09,1.2,1.221480369771159e-09,1.2,1.221480369771159e-09,0.04373151580311918,1.221480369771159e-09,1.2,1.221480369771159e-09,1.2,1.221480369771159e-09,1.2
1.351566544181115e-09,1.2,1.351566544181115e-09,1.2,1.351566544181115e-09,1.2,1.351566544181115e-09,1.2,1.351566544181115e-09,1.2,1.351566544181115e-09,1.2,1.351566544181115e-09,0.05304902283794764,1.351566544181115e-09,1.2,1.351566544181115e-09,1.2,1.351566544181115e-09,1.2
1.611738893001027e-09,1.2,1.611738893001027e-09,1.2,1.611738893001027e-09,1.2,1.611738893001027e-09,1.2,1.611738893001027e-09,1.2,1.611738893001027e-09,1.2,1.611738893001027e-09,0.07145913501027197,1.611738893001027e-09,1.2,1.611738893001027e-09,1.2,1.611738893001027e-09,1.2
2.132083590640851e-09,1.2,2.132083590640851e-09,1.2,2.132083590640851e-09,1.2,2.132083590640851e-09,1.2,2.132083590640851e-09,1.2,2.132083590640851e-09,1.2,2.132083590640851e-09,0.107395599486068,2.132083590640851e-09,1.2,2.132083590640851e-09,1.2,2.132083590640851e-09,1.2
3.172772985920498e-09,1.2,3.172772985920498e-09,1.2,3.172772985920498e-09,1.2,3.172772985920498e-09,1.2,3.172772985920498e-09,1.2,3.172772985920498e-09,1.2,3.172772985920498e-09,0.1758966155624213,3.172772985920498e-09,1.2,3.172772985920498e-09,1.2,3.172772985920498e-09,1.2
5.254151776479793e-09,1.2,5.254151776479793e-09,1.2,5.254151776479793e-09,1.2,5.254151776479793e-09,1.2,5.254151776479793e-09,1.2,5.254151776479793e-09,1.2,5.254151776479793e-09,0.3003164025074335,5.254151776479793e-09,1.2,5.254151776479793e-09,1.2,5.254151776479793e-09,1.2
9.416909357598383e-09,1.2,9.416909357598383e-09,1.2,9.416909357598383e-09,1.2,9.416909357598383e-09,1.2,9.416909357598383e-09,1.2,9.416909357598383e-09,1.2,9.416909357598383e-09,0.5071845944964948,9.416909357598383e-09,1.2,9.416909357598383e-09,1.2,9.416909357598383e-09,1.2
